name,kind,vertex_index,easting,northing,chainage_m,moved_from_nominal_m,nominal_easting,nominal_northing
P1,primary,0,473624.17409361206,218688.07340605053,0.0,37.71,473591.0,218706.0
S1,secondary,1137,496680.48295425455,230268.05506982753,28147.0,318.81,496763.0,230576.0
A3,airport,1838,511505.45218551136,225491.60726816146,45531.68,10.01,511500.0,225500.0
P2,primary,2448,518974.73752881197,237670.2240392252,60654.31,126.71,519056.0,237573.0
S2,secondary,3502,541099.0661636947,232761.7219779158,86850.96,356.49,540813.0,232549.0
A1,airport,4186,555754.4371861102,224471.0975134511,103876.59,71.43,555782.0,224537.0
P3,primary,4784,569068.261332659,218381.86130105733,118757.57,330.94,569135.0,218706.0
S3,secondary,5754,576170.7975510397,198159.9135358575,142846.94,86.57,576254.0,198136.0
P4,primary,6968,560766.6261341032,175249.81738341894,173033.84,18.13,560784.0,175255.0
S4,secondary,8012,571067.3361516627,151554.13739171342,199048.57,340.76,571361.0,151727.0
P5,primary,9926,540654.2502590833,147388.08066231667,246612.18,21.2,540647.0,147408.0
A2,airport,10448,529304.3322945567,141155.92291731745,259600.17,234.67,529403.0,140943.0
S5,secondary,11352,509181.7856941033,132196.4879249712,282101.76,116.13,509240.0,132096.0
S6,secondary,12692,478761.10768737836,132726.10767236885,315475.23,2.98,478759.0,132724.0
P6,primary,13626,473492.8470581109,154405.8836592268,338694.26,324.17,473199.0,154269.0
S7,secondary,14299,462065.3187254984,166113.01534347178,355420.85,128.73,461960.0,166039.0
S8,secondary,15687,465285.90229688026,198205.24668033735,389977.29,225.91,465066.0,198257.0
